Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Lower,Estimate,Upper
2595.0666666666666,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,2.773357895358274e-4,0.001601465673038145,0.007800817064912804
2854.5733333333333,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,2.9243573957113097e-4,0.0020316902169777683,0.01155377376131517
3114.08,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,3.0838489121595984e-4,0.002582373924780129,0.01708186701949663
3373.5866666666666,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,3.252323561000767e-4,0.0032910577047553236,0.025190098119155048
3633.0933333333332,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,3.4303014992087414e-4,0.004193419934403417,0.03702395514238774
3892.6,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,3.618333668621983e-4,0.005341885503517401,0.054110323925477245
4152.106666666667,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,3.8170036456905334e-4,0.0068027542435449865,0.0784416478090234
4411.613333333333,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,4.026929603148039e-4,0.00862178101352035,0.11241510001399455
4671.12,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,4.248766390350185e-4,0.010895685812629518,0.15857027100439552
4930.626666666667,-2.0753487601068083e-5,-3.951106144485327e-6,5.1674883997359285e-6,-6.951540858391191e-6,4.249990739313808e-7,1.115030998313e-5,3.275825024372991e-7,5.297411302947487e-6,-6.623442055247293e-6,9.354589584268809e-6,-1.851342918510012e-5,1.134812494207044e-5,-1.3088679058866211e-5,4.822086303420222e-6,9.764050227234727e-7,-1.1004169283353765e-5,-1.4226081543947578e-5,-2.3908465702109025e-6,-1.3307146219960195e-6,5.407027645479352e-7,1.0404661697642247e-6,1.0126930841103232e-5,8.508853160593012e-7,3.5802350248846514e-6,-7.815340176556277e-6,-6.39273941892526e-8,2.1115250882054064e-7,-6.009886786719344e-7,4.483207739416853e-4,0.013668571298104207,0.21899457184349175
